City,Colors Reported,Shape Reported,State,Time
Pipestone,,SPHERE,MN,1975-01-15 16:00:00
Miami,,LIGHT,FL,1975-01-15 19:00:00
Springfield,,,PA,1975-01-15 21:15:00
Albany,,LIGHT,NY,1975-01-17 18:00:00
Pasco,,SPHERE,WA,1975-02-02 11:30:00
Mukwanago,,CHEVRON,WI,1975-02-15 21:00:00
Akin,RED,TRIANGLE,IL,1975-02-18 23:00:00
Fall City,,,WA,1975-01-03 08:00:00
Roseville,,DISK,CA,1975-01-03 21:00:00
Cowiche,,DISK,WA,1975-06-03 21:00:00
Fort Lauderdale,,DISK,FL,1975-07-03 19:00:00
Detroit,,SPHERE,MI,1975-08-03 19:00:00
New Cambria,,RECTANGLE,KS,1975-03-15 19:00:00
Cowiche,,CIRCLE,WA,1975-03-15 21:00:00
Carlsbad,,DISK,CA,1975-03-20 16:00:00
St. Marys,RED,CIGAR,PA,1975-01-04 07:00:00
New Boston,,LIGHT,TX,1975-01-04 19:30:00
Reno,RED YELLOW,CIGAR,NV,1975-01-04 20:00:00
Waterford,,CIRCLE,CT,1975-01-04 23:00:00
Gilkey,,DISK,NC,1975-10-04 22:00:00
Houston,,,TX,1975-12-04 07:00:00
Florida,,SPHERE,FL,1975-04-15 00:00:00
Huntsville,,LIGHT,AL,1975-04-15 00:00:00
Highway location,,LIGHT,FL,1975-04-15 01:30:00
Onalaska,,DISK,WI,1975-04-15 02:00:00
Tifton,,SPHERE,GA,1975-04-15 02:00:00
Waterford,,DISK,PA,1975-04-18 07:40:00
Mount Vernon,,OVAL,VA,1975-04-20 17:00:00
Kettering,,DISK,OH,1975-04-23 03:45:00
Oil City,,DISK,PA,1975-04-25 00:00:00
Alexandria,,FIREBALL,VA,1975-01-05 02:40:00
Reno,,DISK,NV,1975-01-05 17:00:00
Jacksonville,,SPHERE,NC,1975-05-05 02:00:00
Lodi,RED,LIGHT,OH,1975-07-05 02:00:00
Holmen,,DISK,WI,1975-05-15 00:00:00
Little Rock,,CIGAR,AR,1975-05-15 01:00:00
Denton,,OTHER,TX,1975-05-15 13:00:00
Pomeroy,,DISK,WA,1975-05-15 16:00:00
Lithia Springs,,DISK,GA,1975-05-15 20:00:00
San Antonio,RED,DISK,TX,1975-05-23 17:00:00
Delroy,,TRIANGLE,OH,1975-05-25 17:00:00
Rochester,,FLASH,NY,1975-05-25 23:00:00
Mountain Top,,TRIANGLE,PA,1975-05-30 20:00:00
Clovis,,LIGHT,NM,1975-01-06 00:00:00
Douglas,,CIRCLE,AZ,1975-01-06 00:10:00
Benton Harbor,,DISK,MI,1975-01-06 02:00:00
Iowa City,BLUE,DISK,IA,1975-01-06 03:00:00
Cerritos,,,CA,1975-01-06 12:00:00
Daleville,,DISK,IN,1975-01-06 12:00:00
Lakewood,,CIGAR,CA,1975-01-06 12:00:00
Nashville,,TRIANGLE,TN,1975-01-06 12:00:00
Cold Spring,,OVAL,NY,1975-01-06 13:00:00
Youngstown,,CIRCLE,OH,1975-01-06 13:00:00
Milwaukee,,VARIOUS,WI,1975-01-06 15:00:00
Milford,,DISK,MA,1975-01-06 18:00:00
Scott AFB,,,IL,1975-01-06 18:00:00
Cannon AFB,,,NM,1975-01-06 18:46:00
Denver,,CIRCLE,CO,1975-01-06 19:00:00
Half Moon Bay,,OVAL,CA,1975-01-06 19:00:00
Silver Spring,,DISK,PA,1975-01-06 19:00:00
Williams,,OVAL,CA,1975-01-06 20:00:00
Kenmore,BLUE,DISK,NY,1975-01-06 20:30:00
Kenmore,,OVAL,NY,1975-01-06 20:30:00
Carthage,,,TX,1975-01-06 21:00:00
Central,,FIREBALL,OK,1975-01-06 21:00:00
Goffstown,,SPHERE,NH,1975-01-06 21:00:00
Newnan,ORANGE,SPHERE,GA,1975-01-06 21:00:00
Grand Island,,OVAL,NY,1975-01-06 21:30:00
Robstown,,OVAL,TX,1975-01-06 21:30:00
Clovis,,,NM,1975-01-06 22:00:00
Kennett Square,,OTHER,PA,1975-01-06 22:00:00
Richmond,,DISK,VA,1975-01-06 22:00:00
Sciotoville,,OTHER,OH,1975-01-06 22:00:00
Sedro-Woolley,,CIRCLE,WA,1975-01-06 22:00:00
Longview,,DISK,TX,1975-01-06 23:00:00
Minneapolis,,TRIANGLE,MN,1975-01-06 23:00:00
Nashville,YELLOW,LIGHT,TN,1975-01-06 23:59:00
Charlotte,,DISK,NC,1975-06-06 17:00:00
Lexington,,CIRCLE,KY,1975-06-06 22:00:00
Winchester,,FIREBALL,IN,1975-08-06 21:00:00
Albany,,CIGAR,NY,1975-10-06 02:00:00
Roberts Creek Mtn.,,,NV,1975-10-06 02:30:00
Rockdale,,OTHER,TX,1975-10-06 20:00:00
Albany,,LIGHT,NY,1975-10-06 22:00:00
Bon Air,,CIGAR,VA,1975-06-15 00:00:00
Cocoa Beach,,TRIANGLE,FL,1975-06-15 02:00:00
Hallandale,,DISK,FL,1975-06-15 03:00:00
Praire Creek,,,IN,1975-06-15 05:00:00
Rifle,,DISK,CO,1975-06-15 10:00:00
Noxen,,CIGAR,PA,1975-06-15 12:30:00
Fulton,,DISK,NY,1975-06-15 13:00:00
Baton Rouge,,DISK,LA,1975-06-15 16:00:00
Reisterstown,GREEN,FORMATION,MD,1975-06-15 18:00:00
Nulato,,LIGHT,AK,1975-06-15 18:30:00
Riverside,,DISK,CT,1975-06-15 18:30:00
Minneapolis,,TRIANGLE,MN,1975-06-15 20:00:00
Detroit,,TRIANGLE,MI,1975-06-15 21:00:00
Levittown,,LIGHT,PA,1975-06-15 21:00:00
Burna,,LIGHT,KY,1975-06-15 22:00:00
Florence,,RECTANGLE,SC,1975-06-15 22:00:00
Angeles Crest,,OTHER,CA,1975-06-15 23:00:00
Scotts,,OVAL,MI,1975-06-15 23:00:00
Warren,,CIRCLE,OH,1975-06-20 00:00:00
Brainerd,,CIRCLE,MN,1975-06-20 02:00:00
East Grand Forks,,LIGHT,MN,1975-06-20 02:00:00
Spokane,,DISK,WA,1975-06-20 11:30:00
Brainerd,,CIGAR,MN,1975-06-20 12:00:00
Bedford,,LIGHT,MA,1975-06-20 23:30:00
Lincoln,,OVAL,IL,1975-06-22 09:00:00
Arlington,,TRIANGLE,TX,1975-06-23 21:00:00
Arlington,,TRIANGLE,TX,1975-06-23 21:00:00
Arlington,,TRIANGLE,TX,1975-06-23 21:00:00
Greenwich,,SPHERE,CT,1975-06-30 00:00:00
Pensacola,,OTHER,FL,1975-06-30 00:00:00
Rocky Point,,LIGHT,NY,1975-06-30 00:00:00
San Jose,,,CA,1975-06-30 00:00:00
Yorba Linda,,FORMATION,CA,1975-06-30 00:00:00
Fairmont,,CIGAR,MN,1975-06-30 01:00:00
Kimberly,,TRIANGLE,WI,1975-06-30 03:00:00
Springfield,,CIRCLE,MO,1975-06-30 09:30:00
Louisville,,CIRCLE,KY,1975-06-30 11:00:00
Bourbonnais,BLUE,OVAL,IL,1975-06-30 13:00:00
Keys,,OTHER,FL,1975-06-30 13:00:00
Denison,,,IA,1975-06-30 17:00:00
Anderson,,CIRCLE,SC,1975-06-30 20:00:00
Miami,,SPHERE,FL,1975-06-30 20:00:00
Miami Beach,,LIGHT,FL,1975-06-30 20:00:00
Windsor,RED,DISK,NC,1975-06-30 21:00:00
Lancaster,,,PA,1975-06-30 21:30:00
Angeles Crest Forest,,LIGHT,CA,1975-06-30 23:00:00
El Monte,,OTHER,CA,1975-06-30 23:00:00
Salt Lake City,,LIGHT,UT,1975-01-07 03:00:00
Coarsegold,GREEN,CIRCLE,CA,1975-01-07 09:00:00
Sandy Springs,,LIGHT,SC,1975-01-07 13:20:00
Marsh Creek,,CIGAR,CA,1975-01-07 16:00:00
Kansas City,,OVAL,MO,1975-01-07 20:00:00
Fair Haven,,SPHERE,NY,1975-04-07 10:00:00
Marley Park,,CIRCLE,MD,1975-04-07 13:00:00
Golden,BLUE,SPHERE,CO,1975-04-07 14:00:00
Franconia Notch,,CONE,NH,1975-05-07 23:00:00
Fort Washakie,,LIGHT,WY,1975-07-07 19:00:00
Bellevue,,CIGAR,WA,1975-08-07 22:00:00
Midway,,OTHER,KY,1975-08-07 22:30:00
Manchester,,,CT,1975-10-07 01:00:00
Marlborough,,DISK,CT,1975-10-07 19:00:00
Mt. Hope,,TRIANGLE,WI,1975-11-07 20:00:00
Cassville,,,WI,1975-11-07 22:00:00
Shoreline,,EGG,WA,1975-07-13 19:30:00
Girard,,,MI,1975-07-14 21:00:00
Pound,,DISK,VA,1975-07-15 01:30:00
Angleton,,SPHERE,TX,1975-07-15 05:00:00
Mason,,TEARDROP,MI,1975-07-15 09:30:00
Flathead Lake,,DISK,MT,1975-07-15 13:00:00
Paul,,CIGAR,ID,1975-07-15 14:00:00
Green Bay,,TRIANGLE,WI,1975-07-15 16:00:00
Birmingham,,DISK,AL,1975-07-15 17:00:00
Morehead,,CIRCLE,KY,1975-07-15 17:00:00
Ramsey,,DISK,MN,1975-07-15 18:30:00
Triadelphia,,DISK,WV,1975-07-15 18:30:00
Decatur,,DISK,IL,1975-07-15 19:00:00
Brea,,,CA,1975-07-15 20:00:00
Wittman,,TRIANGLE,MD,1975-07-15 20:00:00
Estes Park,,LIGHT,CO,1975-07-15 20:30:00
Raleigh,,DISK,NC,1975-07-15 21:00:00
Reseda,GREEN,FORMATION,CA,1975-07-15 21:00:00
Smithland,,TRIANGLE,KY,1975-07-15 21:00:00
Dover,,OTHER,NJ,1975-07-15 22:00:00
Turbeville,GREEN,LIGHT,SC,1975-07-15 22:00:00
Grinnell,,RECTANGLE,IA,1975-07-15 23:00:00
Dumas,ORANGE,OVAL,TX,1975-07-18 19:00:00
Spokane,,SPHERE,WA,1975-07-19 23:30:00
Albion,BLUE,LIGHT,NY,1975-07-20 01:30:00
Blackstone,,DISK,MA,1975-07-20 12:00:00
Tupelo,,CIGAR,MS,1975-07-20 20:30:00
Murphysboro,,,IL,1975-07-21 00:30:00
Indiana,,CONE,PA,1975-07-22 02:00:00
Cranston,,LIGHT,RI,1975-07-22 21:00:00
Raleigh,,,NC,1975-07-22 21:00:00
Port Washington,RED,DISK,WI,1975-01-08 03:15:00
Sunland,,EGG,CA,1975-01-08 04:00:00
Lopez Island,,CIRCLE,WA,1975-01-08 12:00:00
Savannah`,,CIGAR,GA,1975-01-08 14:30:00
Ravenna,,CYLINDER,OH,1975-01-08 18:00:00
Pittsburgh,ORANGE YELLOW,FIREBALL,PA,1975-01-08 20:30:00
James Island,,DISK,SC,1975-02-08 17:00:00
Bristolville,,DISK,OH,1975-04-08 14:00:00
Richmond,,OVAL,VA,1975-05-08 16:35:00
Richmond,,EGG,VA,1975-05-08 18:31:00
Walla Walla,GREEN,LIGHT,WA,1975-07-08 21:30:00
Damarascotta Lake,,DISK,ME,1975-08-08 21:30:00
Dekalb,,LIGHT,IL,1975-08-08 22:00:00
River Ridge,ORANGE,CIRCLE,LA,1975-10-08 18:00:00
Anthony,,TEARDROP,KS,1975-12-08 20:00:00
Brigham City,,DISK,UT,1975-08-15 00:00:00
Luning,,DISK,NV,1975-08-15 01:00:00
Ricketts Glen SP,,OTHER,PA,1975-08-15 02:00:00
Kingman,,CYLINDER,AZ,1975-08-15 03:00:00
Orange Lake,,DISK,FL,1975-08-15 06:00:00
Beverly,,DISK,MA,1975-08-15 18:00:00
Grenada,,DISK,MS,1975-08-15 18:00:00
McKenzie,,CONE,TN,1975-08-15 19:30:00
Albion,,CIGAR,NY,1975-08-15 20:00:00
Lapeer,RED,OTHER,MI,1975-08-15 20:15:00
Fildale,,TRIANGLE,VA,1975-08-15 22:00:00
Solomon,,FIREBALL,KS,1975-08-15 23:00:00
Terre Haute,,CIRCLE,IN,1975-08-15 23:00:00
Highlands,,FIREBALL,TX,1975-08-16 20:00:00
Indianapolis,,TRIANGLE,IN,1975-08-16 21:00:00
Dalton,,CIRCLE,MA,1975-08-17 23:00:00
Santa Barbara,,DISK,CA,1975-08-19 01:00:00
Portland,,DISK,OR,1975-08-19 21:00:00
Fort Wayne,,OTHER,IN,1975-08-20 01:00:00
Jackson,RED GREEN,TRIANGLE,NJ,1975-08-20 02:00:00
Orange Lake,,DISK,FL,1975-08-20 07:00:00
Brewster,,CYLINDER,NY,1975-08-20 16:30:00
Joppa,RED ORANGE,CIRCLE,MD,1975-08-20 22:00:00
White Bird,,LIGHT,ID,1975-08-30 22:00:00
White Bird,,LIGHT,ID,1975-08-30 22:00:00
Fullerton,,OTHER,CA,1975-01-09 20:00:00
Independence,,DISK,MO,1975-01-09 20:00:00
Valencia,,OVAL,CA,1975-01-09 22:00:00
Palmyra,,CIRCLE,NJ,1975-04-09 00:00:00
Union Grove,,CIGAR,AL,1975-04-09 02:00:00
Sonoma Mountain,,LIGHT,CA,1975-05-09 20:00:00
Vineland,,DISK,NJ,1975-09-09 15:00:00
Meriden,YELLOW,DISK,CT,1975-10-09 19:45:00
Grand Coulee,,CIGAR,WA,1975-11-09 21:00:00
Anderson,,TRIANGLE,IN,1975-12-09 18:00:00
Prescott,,,AZ,1975-09-15 00:00:00
Prescott,,CIGAR,AZ,1975-09-15 00:00:00
Prescott,,FIREBALL,AZ,1975-09-15 00:00:00
Haines City,ORANGE,DISK,FL,1975-09-15 18:00:00
North Branch,,CHEVRON,NJ,1975-09-15 18:30:00
Pennsville,,DISK,NJ,1975-09-15 21:30:00
Roscommon,,OVAL,MI,1975-09-20 18:30:00
Wimberley,,LIGHT,TX,1975-09-20 19:00:00
Weston,,CIRCLE,CT,1975-09-23 02:00:00
Little Valley,,LIGHT,OR,1975-09-25 22:30:00
St. Agatha,,LIGHT,ME,1975-09-29 21:00:00
"Kincheloe Air Force Base, Michigan",,TRIANGLE,MI,1975-01-10 21:00:00
Maricopa,ORANGE,VARIOUS,AZ,1975-01-10 22:00:00
North Charleston,,LIGHT,SC,1975-10-10 17:00:00
Warwick,,DISK,RI,1975-10-13 16:30:00
Greenwich,,LIGHT,CT,1975-10-15 00:00:00
Rockville,,DISK,MD,1975-10-15 02:30:00
Rockville,,DISK,MD,1975-10-15 03:00:00
Polland Junction,,CIRCLE,AZ,1975-10-15 03:30:00
Killeen,,VARIOUS,TX,1975-10-15 06:30:00
Batesville,,SPHERE,MS,1975-10-15 16:00:00
Marianna,,DISK,FL,1975-10-15 16:00:00
Marion,GREEN,LIGHT,KS,1975-10-15 16:00:00
Scituate,ORANGE,CIRCLE,RI,1975-10-15 17:00:00
Nesconset,,DISK,NY,1975-10-15 18:00:00
Williston,,DISK,ND,1975-10-15 18:00:00
Monroe,,DISK,NY,1975-10-15 19:00:00
Swannanoa,,OTHER,NC,1975-10-15 19:00:00
Montpelier,,OTHER,VT,1975-10-15 19:30:00
Ryegate,,CIRCLE,MT,1975-10-15 22:00:00
Collinsville,,TRIANGLE,AL,1975-10-15 23:00:00
Greenwich,,CIRCLE,CT,1975-10-17 19:00:00
McDermott,,SPHERE,NV,1975-10-20 01:30:00
Watkins Glen,,,NY,1975-10-20 03:15:00
Enterprise,,OTHER,AL,1975-10-20 22:00:00
Indian Rocks Beach,,LIGHT,FL,1975-10-21 23:20:00
Baytown,,LIGHT,TX,1975-10-24 22:00:00
Muscatine,ORANGE,CIRCLE,IA,1975-10-25 22:25:00
Limestone,,LIGHT,ME,1975-10-27 00:00:00
Cleves,,CIGAR,OH,1975-10-28 18:00:00
Allen,,DISK,KY,1975-10-30 20:00:00
Kent,,CIRCLE,CT,1975-10-30 21:00:00
Camp Pendelton,,FLASH,CA,1975-01-11 02:00:00
Natchez,,OVAL,MS,1975-01-11 17:00:00
Ware Shoals,,CIRCLE,SC,1975-01-11 23:00:00
Winslow,BLUE,FIREBALL,AZ,1975-05-11 00:00:00
Beloit,,DISK,WI,1975-09-11 21:15:00
Falls Church,,CIRCLE,VA,1975-11-13 21:00:00
Woodbridge,,CIRCLE,VA,1975-11-13 21:15:00
Albany,,CIRCLE,NY,1975-11-15 20:00:00
Catskill,,FORMATION,NY,1975-11-15 20:00:00
Anderson,,DISK,IN,1975-11-15 21:00:00
Girard,,OVAL,OH,1975-11-15 21:30:00
Miami,,DISK,FL,1975-11-15 23:00:00
Townsend,,CIRCLE,MA,1975-11-15 23:00:00
Miami,,TEARDROP,FL,1975-11-16 03:00:00
Miami,,OVAL,FL,1975-11-20 01:00:00
Hudson,,,NY,1975-11-20 17:00:00
Yonkers,,LIGHT,NY,1975-11-20 20:00:00
,RED,TRIANGLE,WV,1975-11-25 23:00:00
Reno,,DISK,NV,1975-11-27 16:30:00
Edgewater,,FIREBALL,FL,1975-01-12 02:00:00
Hollywood,,DISK,CA,1975-01-12 04:00:00
Louisville,ORANGE,FIREBALL,KY,1975-01-12 22:30:00
Jacksonville,,TRIANGLE,FL,1975-07-12 11:45:00
Clermont,,DISK,IN,1975-12-18 00:30:00
Sunnyvale,BLUE,LIGHT,CA,1975-12-20 21:00:00
no data,,DISK,IN,1975-12-20 22:30:00
North Attleboro,,SPHERE,MA,1975-12-21 19:00:00
Bowie,,OVAL,AZ,1975-12-23 02:00:00
Winters Freeway,,RECTANGLE,CA,1975-12-24 21:00:00
Tampa,,TRIANGLE,FL,1975-12-25 23:00:00
New Britghton,RED GREEN BLUE,SPHERE,MN,1975-12-26 20:00:00
Webb,,DISK,MS,1975-12-31 19:30:00
Lisle,,LIGHT,IL,1975-12-31 22:30:00
Fort Gardens,,FLASH,GA,1976-01-01 21:00:00
Dayton,,OTHER,OH,1976-02-01 12:00:00
Cannon AFB,,DISK,NM,1976-06-01 01:00:00
Nashville,,TRIANGLE,TN,1976-08-01 20:00:00
"Fairbanks, Trans Alaskan Pipeline haul road 250 mi N of",,,AK,1976-11-01 23:00:00
Thousand Oaks,,VARIOUS,CA,1976-01-15 20:00:00
Millis,,,MA,1976-01-20 02:00:00
Ft. Yukon,,OVAL,AK,1976-03-02 13:00:00
Whiteland,,,IN,1976-03-02 22:00:00
Fern Park,,,FL,1976-11-02 22:30:00
Ft. Yukon,BLUE,OVAL,AK,1976-02-13 13:30:00
Flint,,RECTANGLE,MI,1976-02-14 11:55:00
Memphis,,DISK,TN,1976-02-14 18:00:00
Spooner,,SPHERE,WI,1976-02-15 01:00:00
Sacramento,YELLOW,OTHER,CA,1976-02-15 20:30:00
Baker,,OVAL,MT,1976-02-20 22:00:00
Pahokee,,OVAL,FL,1976-03-15 00:00:00
Fountain,,DISK,CO,1976-03-15 12:00:00
Bennington,,DISK,VT,1976-03-20 23:30:00
Houston,,DISK,TX,1976-03-24 21:00:00
Riverside,,TEARDROP,CA,1976-04-15 01:30:00
Americus,,RECTANGLE,GA,1976-04-15 13:30:00
Winchester,,DISK,KY,1976-04-15 20:30:00
Marianna,,OVAL,FL,1976-04-18 17:00:00
Dayton,,VARIOUS,OH,1976-04-20 13:30:00
Brownsville,,CIRCLE,TN,1976-04-25 21:00:00
Fricot City,,DISK,CA,1976-04-30 20:00:00
St. Thomas,,DIAMOND,PA,1976-01-05 12:00:00
Eastland,,,TX,1976-01-05 16:00:00
Coventry,,FORMATION,RI,1976-01-05 20:00:00
Lakewood,,TRIANGLE,CO,1976-01-05 22:00:00
Miami,,SPHERE,FL,1976-01-05 23:00:00
Covelo,,DISK,CA,1976-10-05 11:00:00
New Danville,,DISK,PA,1976-10-05 20:15:00
Grapevine,,EGG,CA,1976-12-05 23:50:00
Hydes,,VARIOUS,MD,1976-05-15 19:00:00
Newtown,,FIREBALL,CT,1976-05-16 20:00:00
Ridgefield,,,CT,1976-05-17 02:00:00
Enfield,,TRIANGLE,CT,1976-05-20 22:00:00
South Lake Tahoe,,LIGHT,CA,1976-05-29 23:00:00
Mountaintop,,CIGAR,PA,1976-05-30 18:00:00
Mountaintop,,TRIANGLE,PA,1976-05-30 19:00:00
Bell,,OTHER,CA,1976-01-06 00:00:00
Haines City,,SPHERE,FL,1976-01-06 00:00:00
Pine City,,CIGAR,MS,1976-01-06 00:00:00
Washington,,LIGHT,IL,1976-01-06 00:00:00
Midvale,,CHEVRON,UT,1976-01-06 01:00:00
Scottsville,,OVAL,KY,1976-01-06 01:00:00
Howell,,,MI,1976-01-06 02:00:00
Pass Christian,,LIGHT,MS,1976-01-06 02:00:00
Federal Way,,CIRCLE,WA,1976-01-06 04:00:00
Syracuse,,OVAL,NY,1976-01-06 08:30:00
Richmond,,DISK,VA,1976-01-06 09:00:00
Meridien,,OTHER,CT,1976-01-06 12:00:00
Orlando,,CYLINDER,FL,1976-01-06 12:00:00
Gulf of Mexico,,OVAL,FL,1976-01-06 14:00:00
Meriden,,,CT,1976-01-06 16:00:00
Raceland,,CIRCLE,LA,1976-01-06 16:30:00
Pacific Palisades,,TRIANGLE,CA,1976-01-06 17:00:00
Barberton,,OVAL,OH,1976-01-06 18:00:00
Fayetteville,,TRIANGLE,IL,1976-01-06 18:00:00
Upper Saddle River,,DISK,NJ,1976-01-06 18:00:00
Chunky,,DISK,MS,1976-01-06 19:00:00
Glennville,,TRIANGLE,GA,1976-01-06 19:00:00
Santa Paula,,RECTANGLE,CA,1976-01-06 19:00:00
Columbus,,LIGHT,OH,1976-01-06 20:00:00
Covington,,DISK,KY,1976-01-06 20:00:00
Niagara Falls,,FLASH,NY,1976-01-06 20:00:00
Shepherd,,TRIANGLE,TX,1976-01-06 20:00:00
Tacoma,,SPHERE,WA,1976-01-06 20:00:00
Jacksonville,,DISK,FL,1976-01-06 20:30:00
Alexandria,,LIGHT,LA,1976-01-06 21:00:00
Covington,,DISK,KY,1976-01-06 21:00:00
Point Pleasent,,LIGHT,NJ,1976-01-06 21:00:00
Cossayuna,,,NY,1976-01-06 22:00:00
Gresham,,VARIOUS,OR,1976-01-06 22:00:00
Kannapolis,,OVAL,NC,1976-01-06 23:00:00
Newark,,CIRCLE,OH,1976-01-06 23:00:00
no data,,LIGHT,TN,1976-01-06 23:00:00
Rutherfordton,BLUE,,NC,1976-01-06 23:00:00
Waco,,SPHERE,TX,1976-01-06 23:00:00
Everett,,,WA,1976-02-06 00:00:00
Holyoke,,DISK,MA,1976-05-06 23:00:00
Copley,,DISK,OH,1976-06-06 13:00:00
Fort Worth,BLUE,FIREBALL,TX,1976-06-06 16:00:00
San Diego,,CIRCLE,CA,1976-06-06 21:00:00
Imperial Beach,,LIGHT,CA,1976-06-06 22:00:00
Mansfield,,DISK,OH,1976-06-06 23:00:00
Littleton,,,CO,1976-10-06 22:35:00
Wurtland,,CIGAR,KY,1976-06-14 03:30:00
South  Hattisburg,,OVAL,MS,1976-06-14 13:00:00
Midland,,LIGHT,TX,1976-06-15 02:00:00
Odessa,,DISK,TX,1976-06-15 02:00:00
Greenbush,,CIRCLE,MN,1976-06-15 03:00:00
"Woodberry Forest Preparatory School, VA",,LIGHT,VA,1976-06-15 03:00:00
Bonney Lake,,OTHER,WA,1976-06-15 06:30:00
Strathmore,,CIGAR,CA,1976-06-15 07:00:00
Canton,,CIGAR,OH,1976-06-15 11:00:00
Winchester,,CIRCLE,MA,1976-06-15 13:00:00
Bergenfield,,CIGAR,NJ,1976-06-15 14:00:00
Ford City,RED,CIGAR,PA,1976-06-15 17:00:00
Mt. Royal,,,NJ,1976-06-15 19:00:00
Simi Valley,,LIGHT,CA,1976-06-15 20:00:00
Smithtown,,DISK,NY,1976-06-15 20:00:00
Brentwood,,DISK,NY,1976-06-15 21:00:00
Long Beach,,DISK,NY,1976-06-15 21:00:00
Western,,RECTANGLE,KS,1976-06-15 21:00:00
Wyandotte,,TRIANGLE,MI,1976-06-15 21:30:00
Beaver Creek,,DISK,OR,1976-06-15 22:00:00
Joshua Tree National Monument,,FORMATION,CA,1976-06-15 22:00:00
Simi Valley,,CIRCLE,CA,1976-06-15 22:00:00
Wilkes-Barre,,DISK,PA,1976-06-15 22:00:00
Tulsa,,LIGHT,OK,1976-06-15 22:45:00
Drumright,,,OK,1976-06-15 23:00:00
Hobbs,,FLASH,NM,1976-06-15 23:00:00
Dale,,OTHER,IN,1976-06-17 21:00:00
Warden,,LIGHT,WA,1976-06-18 21:00:00
Limestone,,CIGAR,ME,1976-06-20 00:00:00
Dunbar,,TRIANGLE,WV,1976-06-20 20:00:00
Little Rock,,SPHERE,AR,1976-06-21 01:30:00
Palo Alto,,LIGHT,CA,1976-06-22 01:00:00
Madison,,CIRCLE,NH,1976-06-23 22:00:00
Phoenix,,DISK,AZ,1976-06-25 22:00:00
Youngstown,,DISK,OH,1976-06-25 23:00:00
Fargo,,DISK,ND,1976-06-26 11:00:00
Lake McClure,,,CA,1976-06-30 00:00:00
Kutztown,,DISK,PA,1976-06-30 00:30:00
Cactus Flat,RED ORANGE,FIREBALL,SD,1976-06-30 01:00:00
San Jose,,SPHERE,CA,1976-06-30 07:00:00
Berrien Springs,,DISK,MI,1976-06-30 12:00:00
Cambridge,,DIAMOND,MA,1976-06-30 18:00:00
Hadley,,OVAL,KY,1976-06-30 20:00:00
Simi Valley,,LIGHT,CA,1976-06-30 20:00:00
Elmira Heights,,CIRCLE,NY,1976-06-30 21:15:00
Springfield,,DISK,LA,1976-06-30 22:00:00
Brooksville,,DISK,FL,1976-06-30 23:00:00
Johnstown,,TRIANGLE,CO,1976-01-07 00:00:00
San Diego,RED,TRIANGLE,CA,1976-01-07 00:00:00
Santa Cruz,,,CA,1976-01-07 00:00:00
Grand Chain,,FIREBALL,IL,1976-01-07 14:00:00
Corpus Christi,,CYLINDER,TX,1976-01-07 15:00:00
Lompoc,,CIRCLE,CA,1976-01-07 20:00:00
Philadelphia,,OVAL,PA,1976-01-07 20:00:00
Charleston,GREEN,,SC,1976-01-07 21:00:00
Daytona,,FIREBALL,FL,1976-01-07 21:00:00
Hudson,,CIGAR,MI,1976-01-07 21:00:00
Ft. Belvoir,,FORMATION,VA,1976-01-07 22:00:00
Gadsden,,DISK,AL,1976-01-07 22:00:00
San Diego,,LIGHT,CA,1976-01-07 23:30:00
Boulder,,DISK,CO,1976-03-07 21:00:00
Allenspark,,TEARDROP,CO,1976-04-07 01:00:00
Ridinger Lake,,RECTANGLE,IN,1976-04-07 02:00:00
Ausable Forks,,SPHERE,NY,1976-04-07 22:00:00
Taylorville,,LIGHT,IL,1976-04-07 23:59:00
Allentown,,,PA,1976-05-07 02:46:00
Kings Bay,YELLOW,LIGHT,GA,1976-05-07 23:45:00
St. Clair Shores,,DISK,MI,1976-08-07 15:00:00
Phoenix,,DISK,AZ,1976-10-07 11:30:00
Strongsville,,TRIANGLE,OH,1976-10-07 23:00:00
Warwick,,CIGAR,RI,1976-12-07 18:01:00
Cave Junction,,TRIANGLE,OR,1976-07-15 00:00:00
Nevada,,LIGHT,MO,1976-07-15 02:00:00
Santa Monica,,,CA,1976-07-15 03:00:00
Winter Park,,FIREBALL,FL,1976-07-15 10:00:00
St. Louis,,CYLINDER,MO,1976-07-15 13:00:00
Hyde Park,,DISK,NY,1976-07-15 14:00:00
Vashon Island,ORANGE,SPHERE,WA,1976-07-15 14:30:00
Berthold,,CIGAR,ND,1976-07-15 15:00:00
Kissimmee,,CIRCLE,FL,1976-07-15 19:00:00
Orlando,,DISK,FL,1976-07-15 20:00:00
Silverthorne,,DISK,CO,1976-07-15 20:00:00
West Liberty,,CIRCLE,IA,1976-07-15 20:00:00
Memphis,,LIGHT,TN,1976-07-15 21:30:00
Leakey,,LIGHT,TX,1976-07-15 21:50:00
Pine City,,OVAL,MN,1976-07-15 22:00:00
St. Charles,,LIGHT,MO,1976-07-15 22:30:00
Bokchito,,CIRCLE,OK,1976-07-15 23:00:00
Greenup,,LIGHT,KY,1976-07-15 23:00:00
Leominster,,,MA,1976-07-15 23:00:00
Hampton,,,NH,1976-07-17 01:00:00
Iowa City,,CIGAR,IA,1976-07-17 21:00:00
Roseville,,RECTANGLE,MN,1976-07-20 05:30:00
New Gulf,,TRIANGLE,TX,1976-07-20 21:00:00
